Feature ID,Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Northernmost Latitude,Southernmost Latitude,Easternmost Longitude,Westernmost Longitude,Coordinate System,Continent Ethnicity,Feature Type,Feature Type Code,Quad,Approval Status,Approval Date,Reference,Origin,Additional Info,Last Updated
1186,Chinook,Chinook,Mars,18.10,22.50,304.54,22.66,22.35,304.70,304.37,+E (0-360),Canada,"Crater, craters",AA,mc10,Approved,1976,[36],"Town in Alberta, Canada.",,"Nov 17, 2010"
1187,Chiun Corona,Chiun Corona,Venus,150.00,18.30,340.50,18.30,18.30,340.50,340.50,+E (0-360),Hebrew,"Corona, coronae",CR,v31,Approved,1994,[83],Hebrew fertility goddess.,,"Oct 01, 2006"
1188,Chive,Chive,Mars,9.10,21.68,303.99,21.76,21.61,304.07,303.91,+E (0-360),Bolivia,"Crater, craters",AA,mc10,Approved,1976,[36],Town in Bolivia.,,"Nov 17, 2010"
1189,Chiyojo,Chiyojo,Venus,40.20,-47.80,95.70,-47.80,-47.80,95.70,95.70,+E (0-360),Japan,"Crater, craters",AA,v47,Approved,1991,-,Japanese poet.,,"Oct 01, 2006"
1190,Chladni,Chladni,Moon,13.07,3.99,1.12,4.20,3.77,1.33,0.90,+E (0-360),Germany,"Crater, craters",AA,LAC-59,Approved,1935,[66],Ernst Florens Friedrich; German physicist (1756-1827).,,"Oct 18, 2010"
1191,Chloe,Chloe,Venus,18.60,-7.40,98.60,-7.40,-7.40,98.60,98.60,+E (0-360),Greek,"Crater, craters",AA,v35,Approved,1994,[82],First name from Greek.,,"Oct 01, 2006"
1192,Chloris Mons,Chloris Mons,Venus,180.00,-45.40,294.60,-45.40,-45.40,294.60,294.60,+E (0-360),Greek,"Mons, montes",MO,v53,Approved,1997,[83],Greek flower goddess.,,"Oct 01, 2006"
1193,Choctaw,Choctaw,Mars,23.96,-41.19,322.76,-40.98,-41.39,323.03,322.50,+E (0-360),United States,"Crater, craters",AA,mc26,Approved,1976,[36],"Town in Ohio, USA.",,"Nov 17, 2010"
1194,Cholpon,Cholpon,Venus,6.30,40.00,290.00,40.00,40.00,290.00,290.00,+E (0-360),Kyrgyzstan,"Crater, craters",AA,v17,Approved,1997,[107],Kyrgyz first name.,,"Dec 30, 2008"
1195,Chom,Chom,Mars,5.58,38.57,357.48,38.62,38.53,357.55,357.42,+E (0-360),Tibet,"Crater, craters",AA,mc04,Approved,1976,[36],Town in China (Tibet).,,"Nov 17, 2010"
1196,Chondi Chasma,Chondi Chasma,Venus,1000.00,-18.50,230.00,-17.00,-19.50,235.00,226.00,+E (0-360),Bangladesh,"Chasma, chasmata",CM,v39,Approved,2003,[65],Bengali goddess of wild animals.,,"Oct 01, 2006"
1213,Chŏng Ch'ŏl,Chong Ch ol,Mercury,143.00,46.87,242.69,48.36,45.37,244.99,240.39,+E (0-360),Korea,"Crater, craters",AA,H-03,Approved,1979,[80],Korean poet (1536-1593).,None,"Oct 07, 2016"
1197,Chopin,Chopin,Mercury,131.00,-65.45,236.60,-63.93,-66.96,240.26,232.94,+E (0-360),Poland,"Crater, craters",AA,H-15,Approved,1976,[59],Frederic; Polish-born French composer and pianist (1810-1849).,None,"Oct 07, 2016"
1198,Chors Patera,Chors Patera,Io,68.92,68.42,110.09,69.11,67.46,112.96,107.22,+E (0-360),Slavic,"Patera, paterae",PE,-,Approved,2006,[83],Slavic sun god.,,"Dec 30, 2008"
1199,Choukoutien,Choukoutien,Ida,1.10,12.80,23.60,12.80,12.80,23.60,23.60,+E (0-360),China,"Crater, craters",AA,-,Approved,1997,[55],Site where Peking Man was discovered.,,"Oct 01, 2006"
15309,Choyr,Choyr,Mars,36.42,-32.43,18.72,-32.12,-32.74,19.06,18.38,+E (0-360),Mongolia,"Crater, craters",AA,mc27,Approved,"Mar 21, 2015",[36],Town in Mongolia.,None,"Mar 21, 2015"
1206,Chrétien,Chretien,Moon,98.63,-46.11,162.99,-44.55,-47.70,165.11,160.82,+E (0-360),France,"Crater, craters",AA,LAC-119,Approved,1970,[68],"Henri; French mathematician, astronomer (1870-1956).",,"Oct 18, 2010"
8280,Chrétien A,Chretien A,Moon,12.05,-43.39,163.14,-43.19,-43.59,163.42,162.87,+E (0-360),France,Satellite Feature,SF,LAC-119,Approved,2006,[68],"Henri; French mathematician, astronomer (1870-1956).",,"Oct 18, 2010"
8281,Chrétien C,Chretien C,Moon,63.58,-44.76,165.42,-43.72,-45.81,166.89,163.95,+E (0-360),France,Satellite Feature,SF,LAC-119,Approved,2006,[68],"Henri; French mathematician, astronomer (1870-1956).",,"Oct 18, 2010"
8282,Chrétien S,Chretien S,Moon,40.08,-46.66,160.38,-46.05,-47.27,161.29,159.47,+E (0-360),France,Satellite Feature,SF,LAC-119,Approved,2006,[68],"Henri; French mathematician, astronomer (1870-1956).",,"Oct 18, 2010"
8283,Chrétien W,Chretien W,Moon,34.23,-44.55,160.84,-43.99,-45.12,161.63,160.05,+E (0-360),France,Satellite Feature,SF,LAC-119,Approved,2006,[68],"Henri; French mathematician, astronomer (1870-1956).",,"Oct 18, 2010"
1201,Christie,Christie,Venus,23.30,28.30,72.70,28.30,27.90,72.60,72.60,+E (0-360),Great Britain,"Crater, craters",AA,v10,Approved,1985,[46],Agatha; British novelist (1891-1976).,,"Oct 01, 2006"
14180,Chronius Mons,Chronius Mons,Mars,56.14,-61.49,178.01,-61.02,-61.96,178.74,177.21,+E (0-360),Greek,"Mons, montes",MO,mc29,Approved,"Sep 13, 2006",[57],Classical albedo feature name.,,"Jul 24, 2008"
15538,Chrysas Mensa,Chrysas Mensa,Mars,167.00,-6.77,289.90,-6.32,-7.27,291.12,288.33,+E (0-360),Greek,"Mensa, mensae",MN,mc18,Approved,"Feb 02, 2017",[57],"Classical albedo feature name, Chrysas.",None,"Feb 02, 2017"
1202,Chryse,Chryse,Mars,0.00,9.88,330.00,9.88,9.88,330.00,330.00,+E (0-360),Greek,Albedo Feature,AL,mc11,Approved,1958,[60],Island rich in gold; region of Thailand/Malacca.,,"Oct 01, 2006"
14386,Chryse Chaos,Chryse Chaos,Mars,658.89,9.86,322.81,15.74,4.82,328.25,318.30,+E (0-360),Greek,"Chaos, chaoses",CH,mc11,Approved,"Mar 31, 2008",[57],Classical albedo feature name.,,"Mar 31, 2008"
14152,Chryse Colles,Chryse Colles,Mars,48.66,8.15,318.14,8.28,7.57,318.55,317.73,+E (0-360),Greek,"Collis, colles",CO,mc11,Approved,2006,[57],Classical albedo feature name.,,"Oct 01, 2006"
1203,Chryse Planitia,Chryse Planitia,Mars,1542.44,28.43,319.69,39.61,14.85,333.93,305.23,+E (0-360),Greek,"Planitia, planitiae",PL,mc11,Approved,1973,[57],Classical albedo feature name.,,"Oct 01, 2006"
14983,Chrysoberyl,Chrysoberyl,Steins,1.55,-2.00,29.60,-2.00,-2.00,29.60,29.60,+E (0-360),,"Crater, craters",AA,-,Approved,"May 09, 2012",[272],"Yellow or brownish-green gemstone, the third hardest gemstone after diamond and sapphire.",None,"May 09, 2012"
1204,Chrysokeras,Chrysokeras,Mars,0.00,-49.67,250.00,-49.67,-49.67,250.00,250.00,+E (0-360),Greek,Albedo Feature,AL,mc25,Approved,1958,[60],"“;Golden Horn“;; Byzantine Peninsula (now Turkey), or its inlet.",,"Oct 01, 2006"
1205,Chrysor,Chrysor,Ganymede,7.00,15.30,225.66,15.38,15.21,225.74,225.58,+E (0-360),Phoenician,"Crater, craters",AA,-,Approved,1997,[83],"Phoenician god; inventor of bait, fishing hooks and line, first to sail.",None,"Nov 13, 2015"
1207,Chthonius Linea,Chthonius Linea,Europa,2180.00,-1.40,55.80,9.00,3.20,92.10,15.10,+E (0-360),Greek,"Linea, lineae",LI,-,Approved,1997,[19],"Survivor of the men Cadmus sowed with dragon's teeth, a founder of Thebes.",,"Oct 01, 2006"
1209,Chubado,Chubado,Venus,7.00,45.30,5.60,45.30,45.30,5.60,5.60,+E (0-360),Mali,"Crater, craters",AA,v08,Approved,1997,[107],Fulbe first name.,,"Oct 01, 2006"
1210,Chuginadak Mons,Chuginadak Mons,Venus,450.00,-38.00,246.00,-38.00,-38.00,246.00,246.00,+E (0-360),Aleutian,"Mons, montes",MO,v52,Approved,1997,[107],Aleutian volcano goddess.,,"Oct 01, 2006"
15713,Chukhung,Chukhung,Mars,45.00,38.47,287.58,38.85,38.07,288.09,287.09,+E (0-360),Nepal,"Crater, craters",AA,mc03,Approved,"Feb 09, 2018",[349],Village in Nepal.,None,"Feb 09, 2018"
1211,Chuku Corona,Chuku Corona,Venus,380.00,-23.50,265.50,-23.50,-23.50,265.50,265.50,+E (0-360),Nigeria,"Corona, coronae",CR,v40,Approved,2000,[65],Igbo (Nigeria) creator goddess.,,"Oct 01, 2006"
14187,Chupadero,Chupadero,Mars,8.04,6.13,83.43,6.20,6.07,83.50,83.37,+E (0-360),United States,"Crater, craters",AA,mc13,Approved,"Sep 14, 2006",[36],"Village in New Mexico, USA.",,"Nov 17, 2010"
1212,Chur,Chur,Mars,4.39,16.93,330.69,16.97,16.90,330.73,330.66,+E (0-360),Russia,"Crater, craters",AA,mc11,Approved,1976,[36],Town in Russia.,,"Nov 17, 2010"
14591,Chusuk Planitia,Chusuk Planitia,Titan,125.00,-5.00,336.50,-5.00,-5.00,336.50,336.50,+E (0-360),United States,"Planitia, planitiae",PL,-,Approved,"Aug 04, 2009",[229],"Planet from the Dune series, known for its musical instruments.",,"Aug 04, 2009"
1208,Chu Ta,Chu Ta,Mercury,100.00,2.04,254.34,3.22,0.87,255.52,253.16,+E (0-360),China,"Crater, craters",AA,H-07,Approved,1976,[59],Chinese painter (c. 1625-1705).,None,"Oct 07, 2016"
1214,Cichus,Cichus,Moon,39.18,-33.29,338.82,-32.64,-33.93,339.59,338.04,+E (0-360),Italy,"Crater, craters",AA,LAC-111,Approved,1935,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8284,Cichus A,Cichus A,Moon,19.82,-34.82,338.48,-34.50,-35.15,338.88,338.08,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8285,Cichus B,Cichus B,Moon,13.84,-33.19,340.62,-32.97,-33.42,340.89,340.35,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8286,Cichus C,Cichus C,Moon,11.51,-33.57,338.14,-33.38,-33.76,338.36,337.91,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8287,Cichus F,Cichus F,Moon,7.83,-35.68,337.48,-35.55,-35.81,337.64,337.32,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8288,Cichus G,Cichus G,Moon,21.55,-35.50,336.39,-35.15,-35.86,336.83,335.95,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8289,Cichus H,Cichus H,Moon,7.25,-32.81,337.50,-32.69,-32.93,337.65,337.36,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8290,Cichus J,Cichus J,Moon,13.12,-32.05,338.63,-31.83,-32.26,338.89,338.38,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
8291,Cichus K,Cichus K,Moon,6.20,-36.63,339.95,-36.53,-36.73,340.08,339.83,+E (0-360),Italy,Satellite Feature,SF,LAC-111,Approved,2006,[66],Francesco Degli Stabili (Cecco D'Ascoli); Italian astronomer (1257-1327).,,"Oct 18, 2010"
